"Species","fg","no3","sd_no3","abv","sd_abv","ptisn","sd_ptisn","ine120"
"Achillea millefolium(lanulosa)","F",0.130566388986279,0.23681005443635,48.7325374974166,0.356508732963012,0.0134051473375902,0.065218263061521,TRUE
"Agastache foeniculum","F",0.123209044311246,0.473804401132747,19.866701102955,0.470468373205375,0.0170749393910165,0.0947561574977545,FALSE
"Agropyron repens","C3",0.134793480688224,0.152039920915384,24.3404351782391,0.252294688869945,0.0152240212345996,0.0736288079914254,FALSE
"Agropyron smithii","C3",0.114514246654655,0.291036288602297,25.0228529315103,0.419620928207528,NA,NA,FALSE
"Agrostis scabra","C3",0.156277349780219,0.146759388265158,48.6395035023529,0.260720875298781,0.0132321582014508,0.0947561574977545,FALSE
"Ambrosia artemisiifolia elatior","F",0.149161120554598,0.335030304996997,31.882445932333,0.360201053191336,0.0168978292859548,0.0736288079914254,FALSE
"Amorpha canescens","L",0.24752397495426,0.199585622829346,181.376177966299,0.290549950793724,0.0196519980765623,0.0691325799941721,TRUE
"Andropogon gerardi","C4",0.065788676364841,0.134640978011484,53.6321949843478,0.238454035212264,0.00884615642275612,0.0549840621658353,TRUE
"Anemone cylindrica","F",0.146385330292838,0.29654180982713,78.8639653281876,0.360201053191336,0.0109035558041998,0.0660510689076931,FALSE
"Asclepias syriaca","F",0.254678817358645,0.335030304996997,32.8540079066069,0.360201053191336,0.0192541868437053,0.0736288079914254,FALSE
"Asclepias tuberosa","F",0.202307459477917,0.211030288524169,47.0097498812973,0.296598076567178,0.015282397381201,0.0609907415414829,TRUE
"Asclepias verticillata","F",0.143865875036438,0.670060609993994,45.2201177478027,0.636028201512513,0.015169469695029,0.126861284160068,FALSE
"Aster azureus","F",0.223345508601495,0.473804401132747,29.210292975819,0.470468373205375,0.0127900839816061,0.0947561574977546,FALSE
"Aster ericoides","F",0.15140257447569,0.386859673553397,50.1076673253456,0.400345720441224,0.00953726584466995,0.0947561574977545,FALSE
"Astragalus canadensis","L",0.389365385980829,0.670060609993994,50.7325834381304,0.636028201512513,NA,NA,FALSE
"Bouteloua curtipendula","C4",0.111766550129231,0.335030304996997,34.9536387659061,0.360201053191336,0.0101811909478371,0.0736288079914254,FALSE
"Bouteloua gracilis","C4",0.0568508088244344,0.284053464722284,21.4902610509182,0.400595554305978,NA,NA,FALSE
"Buchloe dactyloides","C4",0.0943797143330937,0.284053464722284,24.4994729218888,0.400599807185879,NA,NA,FALSE
"Calamovilfa longifolia","C4",0.140391752906925,0.335030304996997,78.1270316185458,0.360201053191336,0.0119448231847966,0.0736288079914254,FALSE
"Coreopsis palmata","F",0.0717686051546076,0.355488280052701,104.313642480234,0.360201053191336,0.0082700253050545,0.0736288079914254,FALSE
"Desmodium canadense","L",0.296452877381498,0.335030304996997,232.521706808015,0.360201053191336,0.0199189847096644,0.0736288079914254,FALSE
"Euphorbia corollata","F",0.213173749556553,0.637225412984867,NA,NA,0.0148787157421797,0.116643592731352,FALSE
"Koeleria cristata","C3",0.141586746935175,0.20522508113669,68.4794736329178,0.294681107828012,0.0117518365150484,0.0605042239452077,TRUE
"Lespedeza capitata","L",0.250378264989042,0.153454488537867,215.326518036762,0.249838286938816,0.0197005482204396,0.0542067820284174,TRUE
"Liatris aspera","F",0.143227767097988,0.195662954239427,137.955156600521,0.302340207504854,0.00897414567810435,0.0614954886938501,TRUE
"Lupinus perennis","L",0.614708357138052,0.215585701040963,266.787230755362,0.308994858355492,0.0157512988049077,0.0632792883863009,TRUE
"Panicum virgatum","C4",0.118459399468938,0.17641648256278,74.6175464330968,0.271319756584492,0.00985305301058194,0.0607773731509818,TRUE
"Penstemon grandiflorus","F",0.11508958075271,0.335030304996997,72.4500653648558,0.360201053191336,0.010715268376075,0.0736288079914254,FALSE
"Petalostemum candidum","L",0.466150796061371,0.335030304996997,207.821339583769,0.360201053191336,0.0185139011235233,0.0736288079914254,FALSE
"Petalostemum purpureum","L",0.398891971830979,0.167148244252061,238.604785096434,0.256327081537515,0.0205606474712329,0.0560489008687109,TRUE
"Petalostemum villosum","L",0.241761871553455,0.473804401132747,208.617497432794,0.470468373205375,0.0188312117666986,0.0947561574977545,FALSE
"Poa pratensis","C3",0.103184634130987,0.259671132087089,32.9924746092782,0.339994761978618,0.0136242474711583,0.0812837255466219,TRUE
"Potentilla arguta","F",0.180548130953551,0.473804401132747,119.188940703942,0.470468373205375,0.00682698538590423,0.0947561574977545,FALSE
"Rudbeckia serotina","F",0.256224626761621,0.386859673553397,103.769837892844,0.400345720441224,0.0128281809147308,0.0812837255466219,FALSE
"Schizachyrium scoparium","C4",0.0471678582928372,0.132898922793597,54.1254831383664,0.242143706487595,0.00746637644486506,0.0548640298564208,TRUE
"Solidago nemoralis","F",0.09696230595461,0.335030304996997,48.8959849967477,0.360201053191336,0.0119623785424469,0.0736288079914254,FALSE
"Solidago rigida","F",0.0829396277151236,0.179663071565688,94.6599304923597,0.279404693731508,0.00935726156078588,0.0574720525312715,TRUE
"Solidago speciosa","F",0.100487290752468,0.473804401132747,148.854518019994,0.470468373205375,0.00848694479695098,0.0947561574977545,FALSE
"Sorghastrum nutans","C4",0.0909368674898359,0.160875738856776,74.735374621501,0.267688916670083,0.00829917610455014,0.0542067820284174,TRUE
"Sporobolus cryptandrus","C4",0.36285,0.901172821331996,NA,NA,0.0120058976965658,0.158088093481305,FALSE
"Stipa spartea","C3",0.210364989000822,0.335030304996997,49.5918680295476,0.360201053191336,0.00884818996475696,0.0736288079914254,FALSE
